Model,mean,std,count,sem,ci95
Random Forest,0.7645666666666667,0.015769204675314334,30,0.002879049704861863,0.005642937421529251
Gradient Boosting,0.7643000000000001,0.012131890150371883,30,0.002214969966844474,0.0043413411350151695
KNN,0.7021666666666666,0.012990934062494946,30,0.002371809209696903,0.00464874605100593
SVM,0.6817,0.01733473690161677,30,0.0031648754764775724,0.006203155933896041
Decision Tree,0.5088666666666667,0.009242828844973353,30,0.001687501951183775,0.003307503824320199
Logistic Regression,0.5070333333333333,0.011121533426067049,30,0.0020305049105015455,0.0039797896245830295
